Topic,Count,Name,Representation,Representative_Docs
-1,930,-1_botanico_jardin_protejan_deberian,"['botanico', 'jardin', 'protejan', 'deberian', 'galeria', 'respeta', 'intervencion', 'firma', 'responsable', 'favor']","['firma pide protejan toda posible obra jardin botanico', 'firma pide protejan toda posible obra jardin botanico', 'firma pide protejan toda posible obra jardin botanico']"
0,91,0_calles_calle_avenidas_avenida,"['calles', 'calle', 'avenidas', 'avenida', 'interseccion', 'barrio', 'ciudad', 'municipio', 'paseo', 'lugar']","['pare indica calle lugano pref agosto deberia reves calles gralmente pref centro', 'calles calles asuncion crater octubre mcal lopez subida raudal', 'avenidas dobles preferenciales despues vienen calles unico ultimo calles doble']"
1,83,1_upei_vale_pasa_mira,"['upei', 'vale', 'pasa', 'mira', 'parecido', 'deci', 'hace', 'loma', 'encima', 'listoma']","['upei', 'upei', 'upei']"
2,79,2_dominguez_eduardo_antequera_loma,"['dominguez', 'eduardo', 'antequera', 'loma', 'semaforo', 'companeros', 'eusebio', 'grutter', 'itaipu', 'coimea']","['semaforo eusebio ayala charles gaulle ayuda', 'eusebio ayala charles gaulle semaforo', 'frente jokey club avda eusebio ayala intransitable recorre hacia pereira ruiz diaz mejor intendente']"
3,74,3_propagandas_propaganda_politicos_politico,"['propagandas', 'propaganda', 'politicos', 'politico', 'electoral', 'politica', 'populista', 'votando', 'publicidad', 'votos']","['ahora hugo puede organizar artistas quieren pintar propaganda electoral ilegal', 'propaganda electoral avda mcal lopez', 'propaganda electoral plazo electoral avda chaco acceso']"
4,70,4_camioneros_camiones_camionetas_camion,"['camioneros', 'camiones', 'camionetas', 'camion', 'camioneta', 'vehiculos', 'choferes', 'chofer', 'vehiculo', 'autos']","['dejan circulen tipo camiones tunel segunda pasa vamosna mario camiones respetan', 'deberian prohibir circular camiones gran porte toda zona metropolitana', 'choferes profesionales manejan camiones analfabetos viales toda velocidad total camion']"
5,62,5_mercado_mercados_cobertura_marketing,"['mercado', 'mercados', 'cobertura', 'marketing', 'inversionistas', 'publico', 'vendedores', 'comerciantes', 'prensa', 'ofrece']","['cobertura predio mercado municipal abasto', 'cobertura mercado abasto', 'cobertura mercado abasto']"
6,59,6_semaforos_luces_caos_martin,"['semaforos', 'luces', 'caos', 'martin', 'intermitentes', 'campana', 'nocturnos', 'lentes', 'fulgencio', 'lillo']","['urgente semaforo lillo martin caos', 'martin lillo semaforo funciona hora pico solo agente', 'funciona semaforo lillo martin caos']"
7,50,7_trabajar_trabajando_trabajan_trabaja,"['trabajar', 'trabajando', 'trabajan', 'trabaja', 'trabajo', 'trabajadora', 'trabajos', 'trabajadores', 'labura', 'obreros']","['trabajando', 'seguimos trabajando junto intendente', 'continuamos trabajando junto bienestar trabajadores abasto']"
8,49,8_saludos_tardes_gracias_hola,"['saludos', 'tardes', 'gracias', 'hola', 'agradecidos', 'indicarnos', 'dejamos', 'correspondiente', 'salimos', 'locales']","['buenas tardes gracias indicarnos brevedad procederemos retiro residuos saludos', 'buenas tardes gracias indicarnos brevedad procedera retiro saludos cordiales', 'buenas tardes victor gracias escribirnos brevedad posible companeros lugar saludos cordiales']"
